organism_files	abundance	mutation_rate	estimated_freq
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000005825.2_ASM582v2_genomic.fna.gz	0.01613734177003467	0.04468818579294805	0.017
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000005845.2_ASM584v2_genomic.fna.gz	0.00022935946250015514	0.06123602503002919	0.0
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006605.1_ASM660v1_genomic.fna.gz	0.010982862807318156	0.014085836412277002	0.0099
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006625.1_ASM662v1_genomic.fna.gz	0.01511018090679609	0.03787184846675996	0.015
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006645.1_ASM664v1_genomic.fna.gz	0.007548582775443098	0.05691694711714891	0.0047
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006685.1_ASM668v1_genomic.fna.gz	0.0027849760396420455	0.05311616862293502	0.0032
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006725.1_ASM672v1_genomic.fna.gz	0.002414147051988275	0.045161318803190555	0.0027
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006745.1_ASM674v1_genomic.fna.gz	0.015633082497357998	0.012225664794064473	0.0161
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006765.1_ASM676v1_genomic.fna.gz	0.0020262409596403528	0.03103938347698798	0.0
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006785.2_ASM678v2_genomic.fna.gz	0.0010115731339340518	0.04379144106956471	0.0019
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006825.1_ASM682v1_genomic.fna.gz	0.012647136600858552	0.027983792345473775	0.0135
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006845.1_ASM684v1_genomic.fna.gz	0.03353404352166781	0.040740049196412956	0.0345
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006865.1_ASM686v1_genomic.fna.gz	4.3269042782500675e-05	0.05040801551708324	0.0
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006885.1_ASM688v1_genomic.fna.gz	0.00785120040247476	0.019551624002685612	0.0086
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006905.1_ASM690v1_genomic.fna.gz	0.018315923102360413	0.013028660209239857	0.0201
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006925.2_ASM692v2_genomic.fna.gz	0.010369774086401062	0.03026895322388077	0.0097
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006945.2_ASM694v2_genomic.fna.gz	0.013991652095594796	0.016483826366767155	0.0149
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006965.1_ASM696v1_genomic.fna.gz	0.003774874659959862	0.020734168514265426	0.0067
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000006985.1_ASM698v1_genomic.fna.gz	0.027324617829113055	0.06314962577006235	0.028
/data/sew347/Estimating_Unknown/files/organism_files_10kplus/genome_files/GCA_000007025.1_ASM702v1_genomic.fna.gz	0.013713015761601225	0.03192189827284695	0.014
